Date,Open,High,Low,Close,Adj Close,Volume
2013-10-15,67.769997,68.190002,67.480003,67.620003,48.882774,3231700
2013-10-16,67.900002,68.959999,67.769997,68.889999,49.800869,3066400
2013-10-17,68.650002,70.059998,68.529999,69.930000,50.552689,3258600
2013-10-18,70.300003,70.320000,69.459999,69.860001,50.502090,2685200
2013-10-21,69.830002,69.879997,69.110001,69.440002,50.198479,2276500
2013-10-22,69.500000,70.360001,69.449997,70.080002,50.661125,3611600
2013-10-23,69.949997,70.250000,69.680000,70.209999,50.755112,4650000
2013-10-24,70.449997,70.449997,69.790001,70.190002,50.740650,1600400
2013-10-25,70.360001,71.129997,70.199997,71.050003,51.362339,2213000
2013-10-28,71.099998,71.099998,69.949997,70.540001,50.993664,3347400
2013-10-29,70.160004,70.540001,69.730003,70.129997,50.697266,3174900
2013-10-30,70.040001,70.230003,69.199997,69.540001,50.270756,2466500
2013-10-31,69.620003,69.779999,68.660004,69.129997,49.974365,4039600
2013-11-01,69.410004,69.699997,68.730003,69.489998,50.234615,3448800
2013-11-04,69.860001,69.949997,68.980003,69.620003,50.328594,2640800
2013-11-05,69.349998,69.349998,68.349998,68.480003,49.504486,2533800
2013-11-06,68.570000,69.000000,68.290001,68.379997,49.432194,2256900
2013-11-07,68.389999,68.629997,67.379997,67.529999,48.817703,3236900
2013-11-08,66.919998,67.220001,65.660004,66.620003,48.159882,3577500
2013-11-11,66.500000,67.099998,66.449997,66.690002,48.210480,2243000
2013-11-12,66.510002,66.650002,65.860001,66.389999,47.993610,2269900
2013-11-13,66.290001,66.820000,65.959999,66.820000,48.304459,2547100
2013-11-14,66.989998,67.779999,66.900002,67.290001,48.644226,2483500
2013-11-15,67.349998,67.650002,67.139999,67.540001,48.824947,2140300
2013-11-18,67.790001,67.800003,67.050003,67.120003,48.521328,1739500
2013-11-19,66.980003,67.139999,66.379997,66.650002,48.181564,2202800
2013-11-20,66.610001,67.269997,65.650002,65.839996,47.596012,2922700
2013-11-21,66.019997,66.510002,65.750000,66.349998,47.964695,2998000
2013-11-22,66.480003,66.550003,65.739998,66.089996,47.776726,1919400
2013-11-25,66.160004,66.209999,65.690002,65.779999,47.552631,2934200
2013-11-26,65.930000,65.940002,65.400002,65.550003,47.386364,2673400
2013-11-27,65.580002,66.160004,65.480003,66.110001,47.791195,2990600
2013-11-29,65.830002,66.190002,65.400002,65.500000,47.350227,2259600
2013-12-02,65.430000,65.620003,64.860001,65.120003,47.075520,3659000
2013-12-03,64.910004,65.209999,64.709999,64.989998,46.981541,2246800
2013-12-04,64.470001,65.690002,64.389999,65.230003,47.155041,3189600
2013-12-05,65.169998,65.550003,64.709999,65.459999,47.321308,2622100
2013-12-06,65.919998,66.099998,65.610001,65.930000,47.661072,2022500
2013-12-09,66.260002,66.309998,65.660004,66.250000,47.892395,2326100
2013-12-10,66.129997,66.510002,66.080002,66.080002,47.769512,2439600
2013-12-11,66.089996,66.199997,64.500000,64.559998,46.670689,2789100
2013-12-12,64.459999,64.599998,63.959999,64.199997,46.410435,2746100
2013-12-13,64.430000,65.120003,64.190002,64.360001,46.526112,3165400
2013-12-16,64.510002,64.750000,64.290001,64.580002,46.685146,2571400
2013-12-17,64.610001,65.059998,64.360001,64.879997,46.902020,2640100
2013-12-18,64.910004,66.089996,64.150002,66.029999,47.733356,4120500
2013-12-19,65.839996,65.870003,64.750000,65.120003,47.075520,3297500
2013-12-20,65.110001,65.580002,64.949997,65.519997,47.364685,3832900
2013-12-23,65.720001,66.050003,65.570000,65.650002,47.458664,4183400
2013-12-24,64.680000,64.860001,64.529999,64.699997,47.501240,1801200
2013-12-26,64.820000,65.239998,64.589996,64.750000,47.537952,4333500
2013-12-27,64.900002,65.000000,64.320000,64.889999,47.640724,3277100
2013-12-30,64.879997,65.160004,64.760002,64.910004,47.655422,3603900
2013-12-31,64.919998,65.150002,64.449997,64.559998,47.398453,5576900
2014-01-02,64.279999,64.750000,64.050003,64.570000,47.405800,5829600
2014-01-03,64.489998,65.180000,64.410004,64.930000,47.670097,2771700
2014-01-06,65.139999,65.559998,64.930000,65.260002,47.912380,2917500
2014-01-07,65.239998,65.820000,65.070000,65.550003,48.125286,2582600
2014-01-08,65.379997,65.620003,64.940002,65.230003,47.890354,3368400
2014-01-09,65.489998,65.510002,64.750000,65.230003,47.890354,2543000
2014-01-10,65.760002,66.160004,65.610001,66.120003,48.543777,2683900
2014-01-13,66.099998,66.230003,65.500000,65.680000,48.220734,3650800
2014-01-14,65.910004,66.360001,65.660004,66.160004,48.573147,2383400
2014-01-15,66.150002,66.779999,66.150002,66.660004,48.940231,3069700
2014-01-16,66.550003,66.809998,66.550003,66.779999,49.028324,2704800
